hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	1.4689 	1.5824 	1.6173 	1.5626 	1.5206 	1.5034 	1.5900 	1.6257 	1.3522 
12	1.5510 	1.5705 	1.5805 	1.9590 	1.6424 	1.6078 	1.5152 	1.6538 	2.0100 
14	1.5669 	1.5338 	1.6008 	1.6334 	1.5121 	1.5295 	1.2776 	1.4918 	1.5052 
16	1.6224 	1.5532 	1.4678 	1.5747 	1.5278 	1.5795 	1.5207 	1.9333 	1.6596 
18	1.3919 	1.4474 	1.3567 	1.3180 	1.6299 	1.4834 	1.6169 	1.5956 	1.4120 
20	1.5255 	1.3046 	1.4734 	1.4031 	1.4499 	1.4350 	1.4333 	1.4518 	1.3870 
22	1.5278 	1.5674 	1.5378 	1.5863 	1.5415 	1.2915 	1.4918 	1.4463 	1.3542 
24	1.5554 	1.4677 	1.3825 	1.6950 	1.5515 	1.4068 	1.7322 	1.5857 	1.4126 
26	1.5214 	1.5019 	1.3864 	1.9044 	1.4799 	1.4934 	1.7287 	1.3354 	1.2976 
28	1.2923 	1.4644 	1.5644 	1.3535 	1.4974 	1.2940 	1.2830 	1.3536 	1.3553 
30	1.5824 	1.5845 	1.5285 	1.4456 	1.4239 	1.4283 	1.4626 	1.4217 	1.3486 
32	1.4713 	1.3731 	1.2904 	1.7816 	1.3006 	1.3669 	2.0055 	1.2757 	1.2820 
34	1.3714 	1.3259 	1.4605 	1.3452 	1.3182 	1.4227 	1.4575 	1.4149 	1.3359 
36	1.5321 	2.1905 	1.5585 	1.5207 	1.3947 	1.5943 	1.5881 	1.3634 	1.4876 
38	1.4709 	1.3039 	1.3921 	1.6240 	1.3773 	1.3944 	1.4461 	1.3543 	1.2945 
40	1.4358 	1.3826 	1.4440 	1.5827 	1.4745 	1.3003 	1.4330 	1.4188 	1.3401 
42	1.4857 	1.4240 	1.5318 	1.3293 	1.3358 	1.3932 	1.3580 	1.3392 	1.3584 
44	1.3983 	1.5284 	1.4717 	1.4282 	1.4242 	1.4796 	1.3092 	1.3990 	1.3669 
46	1.4105 	1.4967 	1.5653 	1.3367 	1.3711 	1.3402 	1.3345 	1.3360 	1.4620 
48	1.6975 	1.6434 	1.5670 	1.4029 	1.7018 	1.4678 	1.7253 	1.6575 	1.5017 
50	1.3426 	1.5290 	1.3227 	1.4007 	1.3737 	1.3117 	1.3612 	1.4541 	1.3782 
