hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	31.3714 	32.5228 	32.9808 	31.5894 	32.0672 	32.4630 	30.5604 	31.8308 	31.4508 
12	31.1439 	32.3157 	32.2506 	32.7615 	31.7782 	31.5553 	31.2049 	31.3856 	31.5690 
14	31.0903 	31.7531 	31.8121 	30.9351 	31.4651 	31.5976 	29.4918 	31.1373 	30.9505 
16	31.4425 	31.7533 	31.8289 	31.0604 	31.5273 	31.7141 	30.8629 	30.4257 	31.9592 
18	31.4382 	31.8806 	31.5329 	31.0504 	31.6438 	31.4205 	31.6567 	31.4200 	31.0608 
20	30.7932 	31.7387 	31.3917 	30.7083 	31.0485 	31.3013 	30.4388 	30.9561 	31.0100 
22	30.7463 	31.3483 	31.4985 	31.0014 	31.4968 	31.3007 	30.7072 	31.2891 	31.3073 
24	30.9332 	31.0886 	30.8818 	30.5159 	31.1566 	31.1822 	32.3069 	31.0676 	30.8036 
26	30.3013 	30.8869 	31.2693 	31.5543 	31.0801 	30.7512 	31.9755 	30.9765 	30.6739 
28	30.0792 	31.3360 	31.3906 	29.9809 	31.4015 	31.4698 	30.3454 	31.0755 	31.2828 
30	31.1508 	31.7743 	31.1126 	30.7481 	31.4693 	30.8133 	30.5011 	31.3716 	30.7065 
32	30.7821 	30.9682 	31.7405 	31.6051 	31.1068 	30.8997 	33.0583 	30.9808 	31.2220 
34	30.3051 	30.8303 	31.2009 	30.4636 	30.9237 	31.6059 	30.8255 	30.8260 	30.7307 
36	31.6921 	34.6712 	31.3195 	32.4646 	31.8820 	31.5927 	32.9413 	31.7620 	31.4564 
38	30.4696 	30.7825 	31.0346 	30.5391 	31.2459 	31.1294 	30.3009 	31.0451 	30.2799 
40	29.8790 	30.2395 	30.6194 	30.0600 	30.5251 	30.8751 	30.0042 	30.7651 	30.9948 
42	31.7884 	31.1623 	30.9107 	30.5416 	31.2675 	31.5878 	32.1173 	30.7520 	31.1430 
44	30.8084 	30.9669 	30.6095 	29.9404 	30.6393 	33.0685 	29.3751 	30.8825 	30.8892 
46	30.8468 	30.6079 	31.1289 	29.3831 	30.9029 	31.1532 	30.4561 	31.0639 	31.4145 
48	30.2551 	31.1893 	30.8394 	30.7078 	30.8292 	31.2362 	29.8540 	30.7388 	30.4402 
50	29.9175 	30.8610 	31.3028 	30.5484 	31.3199 	30.7328 	30.0538 	31.1398 	30.8923 
