hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	33.3674 	34.1985 	35.3050 	33.8670 	33.7633 	34.6888 	31.6826 	32.8412 	32.5299 
12	31.9642 	32.9527 	33.1502 	35.0700 	32.7344 	32.5426 	32.9091 	32.3564 	33.0605 
14	32.8957 	33.3248 	33.6362 	33.5900 	33.4872 	33.8735 	30.8997 	32.8910 	33.0227 
16	33.7088 	33.2757 	33.3830 	33.0249 	33.2128 	33.2306 	32.4461 	30.5055 	33.7805 
18	32.6199 	32.6559 	32.2693 	32.4758 	32.5736 	32.4419 	33.8556 	32.5151 	32.3149 
20	32.1732 	33.8775 	32.6021 	32.2630 	31.8274 	32.7014 	31.4203 	31.5083 	31.9880 
22	32.4880 	32.7791 	32.9308 	32.6975 	32.7745 	32.4076 	32.0147 	32.3094 	32.6028 
24	32.5464 	31.8745 	32.2411 	31.8864 	32.1675 	32.5303 	34.9675 	32.0602 	31.6928 
26	31.7685 	31.8952 	33.0422 	33.5977 	32.2558 	32.0008 	34.4227 	32.4163 	32.1640 
28	31.3557 	32.3718 	32.5044 	30.9059 	32.5005 	32.9732 	31.3465 	31.9199 	32.6014 
30	32.4835 	32.6949 	32.1572 	32.0501 	32.3822 	31.9729 	31.8896 	32.4544 	31.8790 
32	32.0914 	31.6453 	33.3705 	33.6544 	31.9491 	31.6394 	36.1640 	31.7893 	32.5573 
34	31.6093 	31.8697 	32.4020 	31.8393 	31.8329 	33.0596 	32.4631 	31.5666 	31.5433 
36	33.0942 	37.1587 	32.2950 	34.4051 	33.2805 	32.6651 	35.5097 	32.8051 	32.2956 
38	31.7549 	31.9714 	32.3925 	31.7455 	33.9845 	32.5481 	31.2637 	32.2812 	30.9499 
40	30.7796 	30.7775 	31.4423 	31.1557 	31.2199 	32.0157 	30.9915 	31.4627 	32.3355 
42	33.5017 	31.5226 	31.4502 	31.7975 	32.1914 	32.6990 	34.4005 	31.4076 	32.0157 
44	32.4109 	31.8259 	31.5520 	30.9572 	31.3630 	35.4340 	30.0844 	31.7559 	32.1663 
46	32.0302 	31.0747 	32.2815 	29.9212 	31.7549 	32.3108 	30.9942 	31.7797 	32.3544 
48	31.0826 	31.9936 	31.7588 	32.1281 	31.4544 	32.4128 	30.5716 	31.4819 	31.0222 
50	30.3815 	31.0591 	32.4844 	31.6614 	32.2536 	31.6719 	30.8666 	32.0385 	32.0945 
