hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	1.4044 	1.4430 	1.4669 	1.4580 	1.4086 	1.3962 	1.4884 	1.4712 	1.3074 
12	1.4758 	1.4895 	1.5030 	1.7271 	1.5056 	1.4828 	1.4070 	1.4956 	1.7762 
14	1.5146 	1.4919 	1.5527 	1.5246 	1.4150 	1.4536 	1.2310 	1.3540 	1.4074 
16	1.4021 	1.3597 	1.3391 	1.3866 	1.3480 	1.3984 	1.3635 	1.7008 	1.4218 
18	1.3212 	1.3425 	1.2936 	1.2875 	1.4526 	1.3736 	1.4408 	1.4338 	1.3254 
20	1.4862 	1.3897 	1.4482 	1.3874 	1.4066 	1.3993 	1.3789 	1.3898 	1.3512 
22	1.3946 	1.4126 	1.4129 	1.4159 	1.3910 	1.2526 	1.3702 	1.3434 	1.2747 
24	1.4241 	1.3569 	1.3140 	1.4981 	1.3884 	1.3007 	1.5171 	1.4186 	1.3001 
26	1.3761 	1.3544 	1.3060 	1.6009 	1.3337 	1.3673 	1.5232 	1.2647 	1.2458 
28	1.2870 	1.3577 	1.4337 	1.2864 	1.3531 	1.2410 	1.2459 	1.2692 	1.2708 
30	1.4459 	1.4430 	1.3988 	1.3537 	1.3352 	1.3339 	1.3587 	1.3305 	1.2815 
32	1.3495 	1.2993 	1.2687 	1.5397 	1.2572 	1.2893 	1.6932 	1.2301 	1.2448 
34	1.3230 	1.2977 	1.3578 	1.2862 	1.2730 	1.3377 	1.3429 	1.3211 	1.2695 
36	1.4033 	1.7766 	1.4435 	1.3840 	1.3128 	1.4461 	1.4074 	1.2850 	1.3722 
38	1.4078 	1.3194 	1.3597 	1.4816 	1.4506 	1.3273 	1.3587 	1.2992 	1.2809 
40	1.3529 	1.3159 	1.3465 	1.4531 	1.3789 	1.2448 	1.3811 	1.3468 	1.2717 
42	1.3854 	1.3526 	1.4334 	1.3106 	1.2834 	1.3218 	1.2747 	1.2753 	1.2779 
44	1.3086 	1.3992 	1.3626 	1.3372 	1.3241 	1.3482 	1.2744 	1.3082 	1.3245 
46	1.3228 	1.4002 	1.4398 	1.2918 	1.2987 	1.2780 	1.3068 	1.3031 	1.3529 
48	1.5334 	1.4775 	1.4336 	1.3279 	1.5296 	1.3622 	1.5674 	1.4983 	1.4076 
50	1.2797 	1.4134 	1.2716 	1.3153 	1.3025 	1.2571 	1.3219 	1.3616 	1.2988 
