hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	32.5471 	33.4489 	34.2199 	33.0127 	33.1282 	33.7826 	31.6191 	32.7332 	32.4302 
12	32.1359 	33.1109 	33.2453 	34.2185 	32.6759 	32.5336 	32.4826 	32.2521 	32.5953 
14	32.0629 	32.4760 	32.7220 	32.3291 	32.4847 	32.7655 	30.6167 	32.1458 	32.1299 
16	33.1120 	33.0389 	33.2725 	32.6225 	32.8362 	33.1091 	32.2946 	31.1693 	33.4100 
18	32.6276 	32.7940 	32.5427 	32.3053 	32.5431 	32.4295 	33.0625 	32.2415 	32.0567 
20	31.9763 	33.0736 	32.4902 	32.0364 	32.0295 	32.5498 	31.5009 	31.7770 	32.1411 
22	32.0960 	32.4425 	32.6262 	32.3583 	32.5941 	32.4126 	31.8882 	32.2457 	32.4735 
24	32.2296 	31.9632 	32.0985 	31.6763 	32.0873 	32.4578 	33.8757 	31.9450 	31.8836 
26	31.4867 	31.7598 	32.5067 	32.9698 	32.0594 	31.8165 	33.5369 	32.0372 	31.7852 
28	31.1946 	32.2233 	32.3831 	31.0440 	32.3966 	32.7090 	31.3805 	31.9236 	32.3784 
30	32.3617 	32.7419 	32.0982 	31.9346 	32.4457 	31.8172 	31.6001 	32.3028 	31.7536 
32	31.9643 	31.9135 	33.0724 	32.7762 	32.0015 	31.8057 	34.4877 	31.6898 	32.1688 
34	31.3665 	31.6627 	32.1560 	31.5413 	31.7272 	32.6499 	31.9291 	31.4814 	31.5015 
36	32.9855 	36.1067 	32.4126 	33.9273 	33.1138 	32.6801 	34.4556 	32.6766 	32.3733 
38	31.7258 	31.8479 	32.2273 	31.7323 	32.7670 	32.3880 	31.3753 	32.0749 	31.2401 
40	30.9235 	31.0760 	31.5787 	31.1612 	31.3636 	31.9914 	31.0352 	31.5195 	32.0241 
42	33.0631 	31.9072 	31.8381 	31.7430 	32.2445 	32.7026 	33.5508 	31.4956 	32.1527 
44	32.1923 	31.8744 	31.6210 	31.1543 	31.5492 	34.5907 	30.4297 	31.7973 	31.9061 
46	32.0413 	31.3743 	32.1527 	30.4573 	31.8140 	32.2980 	31.3624 	31.9454 	32.3842 
48	31.2953 	32.0838 	31.8280 	31.9915 	31.5601 	32.3347 	30.6773 	31.3734 	31.3050 
50	30.7616 	31.4164 	32.3336 	31.5925 	32.1172 	31.6315 	30.8782 	31.8766 	31.7959 
