hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	33.9892 	34.6697 	35.6071 	34.2876 	34.0747 	34.7299 	31.8615 	33.1352 	32.5492 
12	32.1091 	33.1366 	33.3865 	35.6900 	32.9277 	32.7926 	33.4454 	32.6358 	34.1181 
14	33.3321 	33.4586 	33.3682 	34.0944 	33.8744 	34.1137 	32.6057 	33.5924 	33.7525 
16	33.2030 	32.7371 	32.5121 	32.6826 	32.8566 	32.5059 	32.4151 	30.5586 	33.2596 
18	33.2483 	32.9919 	32.4147 	33.2512 	33.3275 	32.8176 	35.4002 	33.4775 	32.9725 
20	32.8317 	34.6912 	32.7802 	33.0949 	32.1053 	33.0591 	32.4602 	32.0736 	32.4853 
22	33.6304 	33.8766 	33.5916 	33.8311 	33.5482 	32.7571 	33.2243 	33.0322 	33.2660 
24	33.4750 	32.4886 	32.8237 	33.0472 	33.3034 	33.1878 	36.6697 	33.0988 	32.1682 
26	32.7208 	32.6714 	33.8650 	34.6257 	33.0063 	32.4964 	35.2255 	33.1611 	32.7032 
28	31.5499 	32.6657 	32.6301 	31.1794 	32.7561 	32.9780 	31.8097 	32.2485 	32.8726 
30	33.0259 	33.1828 	32.5020 	32.5159 	32.6973 	32.3585 	32.6487 	32.9680 	32.3188 
32	33.3214 	32.3352 	34.3934 	35.6533 	33.0299 	32.4058 	38.7322 	32.2666 	33.5737 
34	32.4225 	32.2842 	32.7174 	32.5512 	32.5285 	33.7832 	33.7781 	32.4216 	31.9947 
36	33.8435 	38.6153 	32.2452 	35.3111 	33.8522 	32.7510 	36.8053 	33.4894 	32.5157 
38	32.1676 	32.3492 	32.6345 	32.1667 	35.2035 	32.8351 	31.4118 	32.5362 	30.9176 
40	31.2455 	31.0620 	31.8485 	31.8006 	31.5814 	32.6037 	31.3051 	32.0144 	33.0717 
42	35.1124 	32.0942 	31.8284 	32.5406 	32.7228 	33.2086 	35.6911 	31.9697 	32.1339 
44	33.1821 	32.4223 	31.9777 	31.5154 	31.8845 	36.4402 	30.5999 	32.4331 	32.8510 
46	32.6590 	31.2974 	32.1818 	30.1015 	32.1105 	32.1335 	31.4864 	32.1312 	32.7323 
48	31.6372 	32.4390 	32.2145 	32.7449 	32.0596 	32.8645 	31.3257 	32.1047 	31.2021 
50	30.8054 	31.4303 	33.0971 	32.4146 	33.0095 	32.2282 	31.5432 	32.7471 	32.7213 
