hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	1.3775 	1.3829 	1.4152 	1.3888 	1.3624 	1.3759 	1.4002 	1.3875 	1.3330 
12	1.4483 	1.4567 	1.4791 	1.5508 	1.4623 	1.4734 	1.3939 	1.4337 	1.5709 
14	1.4567 	1.4196 	1.4650 	1.4108 	1.3504 	1.3797 	1.2755 	1.2853 	1.3137 
16	1.4942 	1.4621 	1.4595 	1.4457 	1.4208 	1.4428 	1.3763 	1.5605 	1.4268 
18	1.3931 	1.4082 	1.3809 	1.3526 	1.3945 	1.3755 	1.3656 	1.3633 	1.3256 
20	1.4966 	1.4892 	1.4782 	1.3966 	1.4013 	1.4037 	1.3451 	1.3617 	1.3556 
22	1.3807 	1.3592 	1.3909 	1.3704 	1.3468 	1.3113 	1.3392 	1.3219 	1.2899 
24	1.3722 	1.3157 	1.3252 	1.3805 	1.2980 	1.3031 	1.3528 	1.2976 	1.2841 
26	1.3576 	1.3441 	1.3039 	1.4329 	1.3296 	1.3230 	1.3952 	1.2794 	1.2718 
28	1.3236 	1.3365 	1.4178 	1.3221 	1.3306 	1.3281 	1.2970 	1.2911 	1.2989 
30	1.3867 	1.3561 	1.3599 	1.3362 	1.3168 	1.3127 	1.3305 	1.3122 	1.2575 
32	1.3606 	1.3541 	1.3536 	1.4121 	1.3132 	1.3252 	1.4525 	1.2533 	1.2796 
34	1.3193 	1.2958 	1.3734 	1.3088 	1.2970 	1.3681 	1.3338 	1.3066 	1.3111 
36	1.3866 	1.5154 	1.4302 	1.3771 	1.3526 	1.4319 	1.3767 	1.3338 	1.3842 
38	1.4049 	1.3669 	1.3981 	1.4390 	1.5146 	1.3798 	1.3777 	1.3543 	1.3511 
40	1.3511 	1.3355 	1.3532 	1.3938 	1.3710 	1.2985 	1.3753 	1.3413 	1.2831 
42	1.3659 	1.3416 	1.4036 	1.3450 	1.2828 	1.3596 	1.2948 	1.2765 	1.3347 
44	1.3316 	1.3570 	1.3730 	1.3573 	1.3149 	1.3639 	1.3486 	1.3358 	1.3450 
46	1.3076 	1.3420 	1.4119 	1.3325 	1.3223 	1.3610 	1.3299 	1.3755 	1.3567 
48	1.4605 	1.4042 	1.3935 	1.3526 	1.4106 	1.3539 	1.4474 	1.3855 	1.3664 
50	1.3179 	1.3619 	1.3163 	1.3131 	1.3081 	1.2797 	1.3472 	1.3494 	1.2956 
