hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	0.7862 	0.7879 	0.7801 	0.7704 	0.7715 	0.7666 	0.7644 	0.7666 	0.7620 
12	0.8346 	0.8406 	0.8444 	0.8049 	0.8089 	0.8107 	0.7883 	0.7920 	0.7988 
14	0.8075 	0.8044 	0.7991 	0.7887 	0.7859 	0.7782 	0.7742 	0.7741 	0.7637 
16	0.8210 	0.8216 	0.8195 	0.8112 	0.8124 	0.8069 	0.7964 	0.8185 	0.8024 
18	0.7898 	0.7920 	0.7861 	0.7799 	0.7867 	0.7756 	0.7686 	0.7740 	0.7635 
20	0.8442 	0.8531 	0.8409 	0.8163 	0.8198 	0.8142 	0.7949 	0.8008 	0.7973 
22	0.7951 	0.7929 	0.7915 	0.7849 	0.7840 	0.7839 	0.7774 	0.7801 	0.7762 
24	0.7784 	0.7676 	0.7768 	0.7679 	0.7560 	0.7618 	0.7647 	0.7516 	0.7614 
26	0.8060 	0.8040 	0.7873 	0.7879 	0.7822 	0.7689 	0.7678 	0.7680 	0.7554 
28	0.7839 	0.7873 	0.7909 	0.7691 	0.7721 	0.7745 	0.7595 	0.7646 	0.7623 
30	0.7628 	0.7582 	0.7543 	0.7612 	0.7573 	0.7486 	0.7640 	0.7605 	0.7483 
32	0.7886 	0.7909 	0.7859 	0.7808 	0.7806 	0.7792 	0.7842 	0.7779 	0.7658 
34	0.8039 	0.8018 	0.8027 	0.7891 	0.7875 	0.7876 	0.7798 	0.7787 	0.7763 
36	0.7968 	0.8020 	0.8072 	0.7891 	0.7980 	0.8035 	0.7918 	0.7962 	0.7972 
38	0.8096 	0.8058 	0.8058 	0.8014 	0.8372 	0.7932 	0.7914 	0.7834 	0.7804 
40	0.7874 	0.7848 	0.7814 	0.7824 	0.7905 	0.7690 	0.7784 	0.7808 	0.7620 
42	0.7785 	0.7768 	0.7898 	0.7797 	0.7638 	0.7796 	0.7616 	0.7620 	0.7719 
44	0.7851 	0.7825 	0.7794 	0.7875 	0.7749 	0.7792 	0.8057 	0.7856 	0.7801 
46	0.7699 	0.7765 	0.7843 	0.7804 	0.7788 	0.7797 	0.7796 	0.7979 	0.7790 
48	0.7969 	0.7918 	0.7735 	0.7801 	0.7841 	0.7698 	0.7816 	0.7714 	0.7677 
50	0.7713 	0.7747 	0.7727 	0.7732 	0.7732 	0.7690 	0.7759 	0.7772 	0.7699 
