hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	1.0506 	1.0439 	1.0410 	1.0401 	1.0324 	1.0317 	1.0451 	1.0364 	1.0270 
12	1.1607 	1.1639 	1.1770 	1.1352 	1.1309 	1.1425 	1.0906 	1.0992 	1.1312 
14	1.1282 	1.1105 	1.1116 	1.0927 	1.0803 	1.0760 	1.0549 	1.0567 	1.0454 
16	1.1537 	1.1436 	1.1449 	1.1403 	1.1312 	1.1278 	1.1072 	1.1594 	1.1215 
18	1.0701 	1.0734 	1.0645 	1.0600 	1.0795 	1.0589 	1.0395 	1.0528 	1.0354 
20	1.1865 	1.1848 	1.1733 	1.1335 	1.1377 	1.1321 	1.0956 	1.1034 	1.1043 
22	1.0848 	1.0730 	1.0777 	1.0721 	1.0639 	1.0639 	1.0576 	1.0582 	1.0496 
24	1.0535 	1.0257 	1.0445 	1.0433 	1.0133 	1.0244 	1.0391 	1.0101 	1.0280 
26	1.0911 	1.0802 	1.0552 	1.0719 	1.0534 	1.0420 	1.0347 	1.0272 	1.0177 
28	1.0636 	1.0687 	1.0919 	1.0458 	1.0525 	1.0572 	1.0282 	1.0363 	1.0390 
30	1.0383 	1.0182 	1.0252 	1.0317 	1.0163 	1.0146 	1.0339 	1.0197 	1.0073 
32	1.0794 	1.0803 	1.0699 	1.0717 	1.0576 	1.0643 	1.0720 	1.0461 	1.0215 
34	1.0845 	1.0719 	1.0915 	1.0635 	1.0524 	1.0651 	1.0538 	1.0435 	1.0467 
36	1.0925 	1.1090 	1.1250 	1.0803 	1.0953 	1.1245 	1.0860 	1.0895 	1.1062 
38	1.1158 	1.0977 	1.1080 	1.1152 	1.1808 	1.0932 	1.0950 	1.0714 	1.0685 
40	1.0816 	1.0754 	1.0746 	1.0753 	1.0950 	1.0430 	1.0616 	1.0696 	1.0241 
42	1.0630 	1.0503 	1.0865 	1.0710 	1.0260 	1.0708 	1.0258 	1.0245 	1.0554 
44	1.0633 	1.0605 	1.0669 	1.0807 	1.0500 	1.0675 	1.1118 	1.0698 	1.0621 
46	1.0428 	1.0550 	1.0852 	1.0747 	1.0617 	1.0731 	1.0630 	1.0996 	1.0651 
48	1.1089 	1.0835 	1.0581 	1.0693 	1.0769 	1.0524 	1.0870 	1.0587 	1.0552 
50	1.0376 	1.0448 	1.0384 	1.0421 	1.0392 	1.0343 	1.0518 	1.0507 	1.0375 
