hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	27.3970 	28.8213 	28.8981 	27.2838 	28.2957 	28.3528 	26.7572 	28.1117 	27.7682 
12	27.3491 	28.7076 	28.4744 	28.1808 	28.2124 	27.9323 	27.1603 	27.9339 	27.8729 
14	27.6674 	28.7767 	28.6177 	27.1065 	28.1480 	28.0366 	26.0963 	27.7282 	27.3847 
16	27.3068 	28.2180 	28.0105 	27.0292 	27.9581 	27.8802 	26.9400 	27.4957 	28.0062 
18	27.3713 	28.2222 	27.8441 	27.0540 	28.0933 	27.7725 	27.3981 	27.9787 	27.5388 
20	27.1439 	28.2243 	27.9541 	26.8660 	27.7203 	27.6670 	26.7809 	27.6577 	27.4612 
22	26.9114 	27.9278 	27.8769 	26.9755 	27.8539 	27.6214 	26.8571 	27.7701 	27.4788 
24	27.1051 	27.8690 	27.4356 	26.8471 	27.7621 	27.4424 	27.8143 	27.7500 	27.2341 
26	26.5488 	27.5511 	27.5593 	27.2413 	27.5857 	27.2742 	27.4540 	27.4637 	27.2077 
28	26.5273 	28.0239 	27.8600 	26.4395 	27.9257 	27.6804 	26.6990 	27.7584 	27.6433 
30	27.1630 	28.1253 	27.6432 	26.8958 	27.8933 	27.4109 	26.8238 	27.8760 	27.2858 
32	26.9232 	27.6182 	27.8040 	27.4801 	27.6552 	27.4376 	28.3364 	27.6712 	27.5877 
34	26.5921 	27.5451 	27.6946 	26.6707 	27.5969 	27.8533 	26.9402 	27.5987 	27.4019 
36	27.4450 	29.7895 	27.7157 	27.8390 	27.9457 	27.8781 	28.1159 	28.1069 	27.8590 
38	26.7465 	27.5588 	27.5553 	26.8599 	27.6630 	27.5235 	26.7649 	27.7040 	27.0752 
40	26.4467 	27.2686 	27.3748 	26.5279 	27.5058 	27.3904 	26.5120 	27.6662 	27.5033 
42	27.5677 	27.8679 	27.5641 	26.7680 	27.7525 	27.9150 	27.7144 	27.6393 	27.6623 
44	26.8411 	27.7003 	27.3360 	26.3511 	27.4074 	28.6774 	26.0305 	27.5984 	27.4647 
46	26.9621 	27.5342 	27.7075 	26.1635 	27.7171 	27.6622 	26.8875 	27.8107 	27.8644 
48	26.8305 	27.9911 	27.5701 	26.8975 	27.7878 	27.7351 	26.6895 	27.8362 	27.3901 
50	26.5669 	27.8245 	27.7496 	26.8449 	27.9538 	27.3985 	26.6586 	27.8334 	27.4851 
